episode,reward,loss,epsilon
236,-13.0,0.5087748467922211,0.8028760839668281
237,4.0,1.0176041722297668,0.8020734086018824
238,-20.0,0.5094495266675949,0.8012715357116327
239,-1.0,1.038356900215149,0.8004704644938051
240,-20.0,0.5460201501846313,0.7996701941469275
241,-20.0,0.6883954256772995,0.7988707238703292
242,-13.0,0.7010990083217621,0.79807205286414
243,-8.0,0.6282375752925873,0.7972741803292892
244,-3.0,0.6892977952957153,0.796477105467505
245,-20.0,0.7747897505760193,0.7956808274813141
246,-13.0,0.49609073996543884,0.7948853455740398
247,-6.0,0.5833985656499863,0.7940906589498022
248,-8.0,0.25368180871009827,0.7936936136203274
249,-20.0,0.5795069634914398,0.7929001184301107
250,-20.0,0.966404378414154,0.7921074165367102
251,-13.0,0.5288585424423218,0.7913155071470277
252,-20.0,0.6107565313577652,0.7905243894687576
253,-20.0,0.5417831167578697,0.7897340627103864
254,-13.0,0.49650895595550537,0.7889445260811917
255,-5.0,0.44548502564430237,0.7885500538181511
256,-3.0,0.527855858206749,0.7877617009018465
257,-8.0,0.5841860324144363,0.7869741361413699
258,-20.0,0.36401940882205963,0.7861873587487627
259,5.0,0.385638952255249,0.7857942650693883
260,-8.0,0.5844696313142776,0.7850086672528853
261,3.0,0,0.7850086672528853
262,-20.0,0.7044242322444916,0.7842238548377993
263,-1.0,0.7307133674621582,0.7834398270389253
264,-13.0,0.7669341862201691,0.7826565830718433
265,-20.0,0.7670136094093323,0.7818741221529173
266,-3.0,1.0410274863243103,0.781092443499295
267,-20.0,0.3784363567829132,0.7803115463289066
268,-20.0,0.7449269592761993,0.7795314298604644
269,-20.0,0.558767706155777,0.7787520933134615
270,-8.0,0.66753751039505,0.7779735359081715
271,-13.0,0.7125782668590546,0.7771957568656473
272,-20.0,0.7280263900756836,0.776418755407721
273,-20.0,0.6274966299533844,0.7756425307570022
274,-13.0,0.5946791172027588,0.7748670821368779
275,-6.0,0.5632221698760986,0.7740924087715116
276,-13.0,0.4957681745290756,0.7733185098858425
277,-20.0,0.6826974302530289,0.7725453847055842
278,-8.0,0.3152472674846649,0.7721591120132315
279,-13.0,0.6075649634003639,0.7713871459409963
280,-6.0,0.410075843334198,0.7706159516418419
281,-20.0,0.5797156095504761,0.7698455283441881
282,-20.0,0.80817049741745,0.7690758752772261
283,-20.0,0.3440432995557785,0.7683069916709178
284,-20.0,0.5471345335245132,0.7675388767559949
